id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score
aptos,apt,Aptos,0.939062,744970325,81,96322295.0,-0.88342,3.2367901502196395,793521710.2595364,0.12929682131969486,0.12929682131969486,0.4669291512715983,0.4790252336184913,0.08520828725446704,0.84,0.0,0.47646239019826286
binancecoin,bnb,BNB,635.41,86620942342,5,1148094330.0,-2.00201,-1.7560093507872978,136357731.13,0.01325423504938392,0.01325423504938392,0.4442341609930375,0.4457103906000557,0.00776278490446632,0.992,0.0,0.4756653499805927
aster-2,aster,Aster,0.684374,1680721691,50,192409775.0,-1.02691,-2.8455655888892277,2455859719.12999,0.11448044969629656,0.11448044969629656,0.464017893210047,0.4384402418538858,0.07532000933634594,0.902,0.0,0.473975400063923
ethereum-classic,etc,Ethereum Classic,8.29,1292907608,59,44362161.0,-0.42554,1.7902690679272681,155962582.4242165,0.03431193437605636,0.03431193437605636,0.4762190449312479,0.4693732091841617,0.021816453950505663,0.884,0.0,0.4739290188443389
bittensor,tao,Bittensor,245.81,2358747636,40,303020887.0,-8.12444,17.09547371181538,9597491.0,0.12846685350106696,0.12846685350106696,0.3200166288041484,0.5714983776339124,0.0846543761713562,0.922,0.0,0.4734926222183453
canton-network,cc,Canton,0.144953,5519876362,20,10931033.0,-1.36086,-1.3019184967890765,38072370102.42505,0.0019803039566703975,0.0019803039566703975,0.45724240620987233,0.44874034714327504,0.00023869150912741912,0.962,0.0,0.4733826386017846
zebec-network,zbcn,Zebec Network,0.00212833,208222256,167,6905324.0,4.86149,5.767150499296457,97951717939.67068,0.03316323688280469,0.03316323688280469,0.5834872079332949,0.49590925986319984,0.021049826307393382,0.668,0.0,0.47287765323294506
tether-gold,xaut,Tether Gold,4613.99,2604984831,35,990620476.0,-5.0612,-9.66642383395491,564598.641692,0.380278788656025,0.380278788656025,0.38216647997472813,0.392927534676372,0.25271079789203416,0.932,0.0,0.47205947761539074
shiba-inu,shib,Shiba Inu,5.67e-06,3338197821,31,143466862.0,-1.05099,-3.516857751018311,589243650032071.6,0.042977339778210825,0.042977339778210825,0.4635293358602515,0.4339609926878966,0.027599646966154266,0.94,0.0,0.4714856217355572
helium,hnt,Helium,1.27,234945064,157,6072067.0,2.77029,10.089043743898953,184793970.4178687,0.025844624682134203,0.025844624682134203,0.5410590048646758,0.5247474287016104,0.016165467757632394,0.688,0.0,0.4710728943635532
hyperliquid,hype,Hyperliquid,39.56,9427270510,14,537412730.0,-5.60305,6.468409988876275,238385315.9541414,0.05700618534600637,0.05700618534600637,0.3711729251580051,0.5005884683525109,0.036962338951126654,0.974,0.0,0.4704050975675177
polkadot,dot,Polkadot,1.51,2535494528,37,192850717.0,-2.82177,0.7696711176250661,1675213567.652217,0.07606039566258531,0.07606039566258531,0.42760211061644454,0.4625631899770219,0.049678902217069346,0.928,0.0,0.47014383478944133
zcash,zec,Zcash,234.93,3901254517,29,397773579.0,-7.59864,13.023839337211538,16611447.0405448,0.10196042766927221,0.10196042766927221,0.33068454635076266,0.544330080571105,0.06696428902296607,0.944,0.0,0.46997165102770944
crypto-com-chain,cro,Cronos,0.074757,3159503224,33,11129407.0,-1.49962,-0.7285933041681407,42283099406.20428,0.003522518007090345,0.003522518007090345,0.4544271147706022,0.4525659040851928,0.0012679476271165767,0.936,0.0,0.4686146785250315
lighter,lit,Lighter,1.17,291899018,133,29913039.0,0.57238,6.255110647854588,250000000.0,0.10247735400055372,0.10247735400055372,0.4964657704506799,0.49916521190877833,0.0673092797775739,0.736,0.0,0.4679342804768144
sui,sui,Sui,0.944107,3681067640,30,371502771.0,-3.12063,-2.3003501642770283,3899984688.415443,0.10092256033632677,0.10092256033632677,0.421538562046682,0.4420782341823424,0.06627162816839513,0.942,0.0,0.4678447031799521
whitebit,wbt,WhiteBIT Coin,54.79,11690629729,11,77616339.0,-3.31753,0.025860954717815052,213418274.0,0.006639192310356338,0.006639192310356338,0.4175436724214854,0.45760005881027377,0.0033479806118651037,0.98,0.0,0.46749662932809316
tezos,xtz,Tezos,0.384997,415351475,113,15644278.0,0.25552,6.900430634772467,1078963058.189684,0.03766515575754245,0.03766515575754245,0.49003702120416,0.5034711597155132,0.024054355765060403,0.776,0.0,0.467382978737696
ape-and-pepe,apepe,Ape and Pepe,1.28e-06,268454592,143,20105007.0,-1.88106,17.485705826756366,210000000000000.0,0.07489164871502738,0.07489164871502738,0.4466881066515825,0.5741022317737372,0.04889889379617109,0.716,0.0,0.4671726645439383
near,near,NEAR Protocol,1.33,1718051242,48,215856119.0,-3.66847,1.1632872116105444,1290602033.0,0.1256400936847028,0.1256400936847028,0.4104234765603047,0.46518962398023217,0.08276782881803227,0.906,0.0,0.466990608880613
