id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket,explanation
safe,safe,Safe,0.102717,73358903,339,1617736.0,-4.6942,0.5921845070317482,714032461.0,0.022052347211353473,0.022052347211353473,0.3976015843841235,0.4644191197410507,0.01350094933910271,0.3185483870967742,0.08,0.25269809122562803,High,speculative,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
celo,celo,Celo,0.081335,48715414,456,15603397.0,6.44265,9.250095135918313,597552519.0,0.3202969187534771,0.3202969187534771,0.5979495761009709,0.521628634060308,0.21257294362518556,0.08266129032258064,0.15,0.2526278424874526,High,speculative,Moderately positive 7d trend | Positive 24h continuation | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
fogo,fogo,Fogo,0.02065024,78241342,321,4977258.0,-2.7573,-11.350109606973538,3791702820.453078,0.06361416960358374,0.06361416960358374,0.4324457301844496,0.38550714254409607,0.04124259381230874,0.3548387096774194,0.08,0.25242618524395216,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
astar,astr,Astar,0.00742444,63640491,378,3796122.0,-2.5468,-0.7064646808083909,8571436695.0,0.05964947693442529,0.05964947693442529,0.43623255071775985,0.4558379397668025,0.038596244635524773,0.2399193548387097,0.08,0.2512769931618603,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
ronin,ron,Ronin,0.09193,70755565,350,2723039.0,-2.49477,-8.080476613314907,769401679.4337813,0.03848515660923632,0.03848515660923632,0.4371685520115753,0.40711213751197384,0.024469504849249146,0.2963709677419355,0.08,0.24570628231854819,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
baby-doge-coin,babydoge,Baby Doge Coin,3.94919e-10,71154850,348,2773346.0,-3.9279,-6.53472886168483,1.8012862191752214e+17,0.03897620471408485,0.03897620471408485,0.411387050297072,0.41732608888215716,0.02479726915696863,0.3004032258064516,0.08,0.24138583636925487,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
zetachain,zeta,ZetaChain,0.04934199,64949063,374,3227812.0,-4.80455,-0.3889349246469814,1315270833.0,0.049697591480265084,0.049697591480265084,0.3956164269216495,0.4579361045447222,0.03195356988700377,0.24798387096774194,0.08,0.2393265047515536,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
rekt-4,rekt,Rekt,1.45706e-07,61286432,387,1054692.0,-2.3956,-2.9054357059351,420690000000000.0,0.017209225036954347,0.017209225036954347,0.4389525852290972,0.44130763681704827,0.010268266897160554,0.2217741935483871,0.08,0.2390602450695919,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
aztec,aztec,Aztec,0.02150633,63393736,380,6557502.0,-4.05351,-5.08447430377699,2943918885.0,0.10344085100143018,0.10344085100143018,0.4091273708329908,0.42690904283647246,0.06782606807529608,0.23588709677419356,0.08,0.2383795831258908,High,speculative,Negative 7d trend | Minor 24h pullback | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
edu-coin,edu,Open Campus,0.080645,67403641,365,5310194.0,-1.02705,-16.586800473815746,836375099.0,0.07878200526289077,0.07878200526289077,0.46357231558948564,0.35090427425707826,0.051366805891304934,0.2661290322580645,0.08,0.23608625477780665,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
mog-coin,mog,Mog Coin,1.51223e-07,59082350,394,8366458.0,-4.40669,-4.789057876880872,390561998053223.3,0.1416067234969496,0.1416067234969496,0.40277378757429944,0.42886108773842246,0.0933009872400136,0.20766129032258066,0.08,0.23587237411302114,High,speculative,Negative 7d trend | Minor 24h pullback | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
polymesh,polyx,Polymesh,0.04512655,56753171,409,12085053.0,1.01336,13.454521396438714,1257495879.80588,0.2129405773643908,0.2129405773643908,0.5002785696720109,0.549410531410112,0.14091483810099348,0.1774193548387097,0.15,0.23576084354399782,High,speculative,Healthy 7d uptrend | Mild positive 24h movement | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
soon-2,soon,SOON,0.134808,58931255,395,5719575.0,-2.74505,-8.272469690786435,436986207.74,0.09705503471799472,0.09705503471799472,0.43266610335087746,0.40584349070033326,0.06356366968153859,0.2056451612903226,0.08,0.23277669308312215,High,speculative,Negative 7d trend | Minor 24h pullback | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
axelar,axl,Axelar,0.051555,58688779,397,9296275.0,-4.329,-7.189403004219928,1137919327.708738,0.1583995298317588,0.1583995298317588,0.4041714031906077,0.4130001502882835,0.10450983315276569,0.20161290322580644,0.08,0.23236924472013865,High,speculative,Negative 7d trend | Minor 24h pullback | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
deep,deep,DeepBook,0.0300485,75194058,330,8711528.0,-6.28526,-12.612178232231072,2500000000.0,0.11585394154415765,0.11585394154415765,0.36897897783909445,0.37716767864992534,0.07611154558396369,0.33669354838709675,0.08,0.2322623643860206,High,speculative,Negative 7d trend | Heavy 24h weakness | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
based-brett,brett,Brett,0.00690372,68399697,357,8306472.0,-7.88943,-3.342613925054211,9909609171.0065,0.1214401870815305,0.1214401870815305,0.34012052703187207,0.43841886207001923,0.0798402472798451,0.28225806451612906,0.08,0.23118708468480276,High,speculative,Negative 7d trend | Heavy 24h weakness | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
digibyte,dgb,DigiByte,0.00382416,69513270,354,2434498.0,-6.11888,-5.907239791754167,18187854053.23141,0.03502206125535455,0.03502206125535455,0.3719720951803399,0.4214723946677128,0.02215796135682135,0.28830645161290325,0.08,0.2271225122248311,High,speculative,Negative 7d trend | Heavy 24h weakness | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
zama,zama,Zama,0.02164449,47610653,469,13347675.0,5.78172,2.8100609590219183,2200000000.0,0.2803505971657226,0.2803505971657226,0.5860596792122262,0.47907434547358907,0.18590961204550469,0.056451612903225805,0.15,0.22601545373882512,High,speculative,Moderately positive 7d trend | Positive 24h continuation | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
lagrange,la,Lagrange,0.237142,45826003,480,14255970.0,5.71574,2.885198889458168,193000000.0,0.3110890993482456,0.3110890993482456,0.5848727223533766,0.47957083991566263,0.20642691735370106,0.034274193548387094,0.15,0.22504220696112284,High,speculative,Moderately positive 7d trend | Positive 24h continuation | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
