id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket
reserve-rights-token,rsr,Reserve Rights,0.00159922,99947024,271,7235025.0,-1.95005,-3.3678836882588055,62553174091.0,0.07238859858398586,0.07238859858398586,0.4683966656320666,0.4335166063021084,0.047086765192925414,0.4589178356713427,0.0,0.380201099761889,High,speculative
zero-gravity,0g,0G,0.531365,113317913,245,13056388.0,-3.1075,-7.9346547182073195,213199722.0,0.11521910044354594,0.11521910044354594,0.44506878746226053,0.40317266831102905,0.07567560388875091,0.5110220440881763,0.0,0.3791998299988425,High,speculative
kamino,kmno,Kamino,0.02095684,87674232,296,4504040.0,-4.94721,11.759623313388962,4183561861.75,0.051372448862739964,0.051372448862739964,0.40799026938564914,0.5340314189361004,0.03305874104419814,0.4088176352705411,0.0,0.37848041232630175,High,speculative
stp-network,awe,AWE Network,0.052563,102101304,263,3956315.0,-3.11222,-0.11727340302154625,1942420283.0270672,0.03874891744771448,0.03874891744771448,0.4449736580096177,0.4551153061890865,0.02463268746725889,0.4749498997995992,0.0,0.37835002612383006,High,speculative
wormhole,w,Wormhole,0.01644563,91136274,291,25213251.0,-3.181,-10.11665981670487,5541897592.0,0.2766543977867693,0.2766543977867693,0.44358742840097865,0.3886743221117507,0.1834317000160225,0.4188376753507014,0.0,0.3753355147948627,High,speculative
qtum,qtum,Qtum,0.868972,92164514,284,7724748.0,-2.86545,-1.0244507690108795,105986458.75,0.08381477495774567,0.08381477495774567,0.4499471950919652,0.449087560641966,0.05471359885297879,0.43286573146292584,0.0,0.37513096470813995,High,speculative
0x,zrx,0x Protocol,0.104104,88372271,294,7900147.0,-2.62486,-0.5065640091803989,848396562.906836,0.08939622022387543,0.08939622022387543,0.45479617708589465,0.4525286623796361,0.05843914563564732,0.41282565130260523,0.0,0.37437755185631466,High,speculative
oasis-network,rose,Oasis,0.01205378,91029589,290,4602674.0,-1.37174,-3.0923137166688415,7550281291.0,0.0505623946077577,0.0505623946077577,0.48005224058077334,0.43534763266084037,0.032518039688269815,0.42084168336673344,0.0,0.3742425906013348,High,speculative
ravencoin,rvn,Ravencoin,0.00541631,87369151,298,6296414.0,-2.38571,0.4678023459588016,16138890920.44731,0.0720667870516448,0.0720667870516448,0.45961613653495,0.4590028455753877,0.04687195991189644,0.40480961923847697,0.0,0.3741768939956371,High,speculative
theta-fuel,tfuel,Theta Fuel,0.01265253,91932183,285,2881712.0,-1.81613,-1.591420193627243,7265991838.0,0.03134606299950476,0.03134606299950476,0.47109576230535744,0.4453203288384502,0.019691372224152473,0.4308617234468938,0.0,0.37406353427897565,High,speculative
