id,ts,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,volume_to_mcap,final_score,risk_level,bucket,future_price_6h,future_return_6h,target_up_6h_3pct,rank_strength,score_x_liquidity,score_x_rank,price_lag_1,price_lag_2,score_lag_1,score_lag_2,volume_to_mcap_lag_1,rank_lag_1,price_return_1,price_return_2,score_delta_1,volume_to_mcap_delta_1,rank_change_1
83,2026-03-29 21:01:27.355962,BNB,BNB,609.08,83047920498.0,4,628367541.0,-1.35773,-3.0261898446155344,0.0075663248065932324,0.39060149815672957,Low,balanced,591.73,-0.02848558481644451,0,0.25,0.002955417804995744,0.09765037453918239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2026-03-29 21:01:27.355962,BONK,Bonk,5.69e-06,500470598.0,98,26783609.0,-2.46453,-0.08616182804794227,0.05351684815658242,0.3967472378213856,Medium,balanced,5.5e-06,-0.033391915641476255,0,0.01020408163265306,0.021232661683030587,0.004048441202259037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2026-03-29 21:01:27.355962,BSV,Bitcoin SV,13.58,271691502.0,132,12989248.0,-0.49093,-3.759784273187706,0.04780881221673249,0.38929861552083384,Medium,balanced,15.83,0.16568483063328424,1,0.007575757575757576,0.018611904405669486,0.0029492319357638927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2026-03-29 21:01:27.355962,BTC,Bitcoin,66559.0,1331697620406.0,1,21910561013.0,-0.45744,-2.3788507348388293,0.016453105177375055,0.44384375736305653,Low,balanced,66880.0,0.004822788803918328,0,1.0,0.007302608022215703,0.44384375736305653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2026-03-29 21:01:27.355962,BTSE,BTSE Token,1.47,238713089.0,148,2764392.0,1.90017,1.6986434986152235,0.01158039557688435,0.5612690870396491,Medium,balanced,1.45,-0.01360544217687076,0,0.006756756756756757,0.006499718052995869,0.0037923586962138453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2026-03-29 21:01:27.355962,BTT,BitTorrent,3.14197e-07,310284112.0,126,8185718.0,-0.72801,-5.542547920279387,0.026381363670982934,0.34182821000842384,Medium,balanced,3.13035e-07,-0.0036983166612029844,0,0.007936507936507936,0.009017894321233358,0.0027129223016541574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2026-03-29 21:01:27.355962,CAKE,PancakeSwap,1.36,447089040.0,103,27127771.0,-2.05755,-1.3470153589832798,0.060676439306139106,0.40075461310377153,Medium,balanced,1.4,0.029411764705882214,1,0.009708737864077669,0.024316362958646254,0.0038908214864443835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2026-03-29 21:01:27.355962,CASH,CASH,1.001,121850487.0,233,17916096.0,0.08763,0.17359922850605844,0.14703343779003525,0.5851477468079861,High,speculative,0.999441,-0.0015574425574424238,0,0.004291845493562232,0.08603628482827132,0.002511363720205949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2026-03-29 21:01:27.355962,CC,Canton,0.150457,5740085642.0,20,8816307.0,-4.16503,5.571921925964874,0.0015359190698290978,0.43405165732842,Medium,balanced,0.139893,-0.07021275181613362,0,0.05,0.0006666682177816451,0.021702582866421002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,2026-03-29 21:01:27.355962,CFX,Conflux,0.05368,278346441.0,131,14852836.0,-7.05089,-11.569656027808096,0.05336096968453784,0.1259311042291306,Medium,balanced,0.050888,-0.05201192250372571,0,0.007633587786259542,0.006719805835111012,0.0009613061391536686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2026-03-29 21:01:27.355962,CHZ,Chiliz,0.03946958,405800438.0,107,90583454.0,-5.22043,12.256537752944624,0.22322167626640166,0.5941333363090954,Medium,balanced,0.038026,-0.03657449610560842,0,0.009345794392523364,0.13262343925666603,0.005552648002888742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2026-03-29 21:01:27.355962,COMP,Compound,17.97,173811601.0,184,5649963.0,-3.05497,-3.689844451428823,0.032506247957522695,0.2426043385751181,Medium,speculative,16.56,-0.07846410684474125,0,0.005434782608695652,0.007886156785293577,0.0013185018400821635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2026-03-29 21:01:27.355962,COW,CoW Protocol,0.197973,110792876.0,244,5243144.0,-1.30723,-7.409672844664139,0.04732383695861456,0.24061118213620347,High,speculative,0.197495,-0.0024144706601405552,0,0.004098360655737705,0.011386644353833204,0.0009861114021975552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2026-03-29 21:01:27.355962,CRO,Cronos,0.070383,2978002010.0,35,16506537.0,-2.62322,-5.100050363909054,0.005542822652426618,0.29428953534074914,Medium,balanced,0.069,-0.019649631303013445,0,0.02857142857142857,0.0016311947028588081,0.008408272438307118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2026-03-29 21:01:27.355962,CRV,Curve DAO,0.210114,313205425.0,124,40464270.0,-1.47378,-3.098484277971973,0.12919402657217702,0.45365017925705414,Medium,balanced,0.208796,-0.006272785249911885,0,0.008064516129032258,0.05860889331340872,0.003658469187556888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2026-03-29 21:01:27.355962,CVX,Convex Finance,1.67,153180854.0,195,6078214.0,0.5915,-3.9957043907232093,0.0396799850717636,0.4402601418318455,Medium,speculative,1.68,0.005988023952095814,0,0.005128205128205128,0.017469515855580153,0.002257744317086387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-03-29 21:01:27.355962,DASH,Dash,31.97,404107085.0,108,46681263.0,-0.89107,0.481797340529098,0.11551706152343258,0.5772737805939696,Medium,balanced,30.02,-0.06099468251485766,0,0.009259259259259259,0.0666849708287381,0.005345127598092311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-03-29 21:01:27.355962,DEXE,DeXe,7.29,341140534.0,119,6988912.0,1.71121,4.959354593627429,0.020486899982398457,0.6461652956663145,Medium,balanced,8.93,0.22496570644718789,1,0.008403361344537815,0.013237923784412712,0.005429960467784155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2026-03-29 21:01:27.355962,DOGE,Dogecoin,0.090925,13967208256.0,10,654595004.0,-1.37997,0.19709219090860947,0.04686656001701705,0.5405613057675158,High,speculative,0.090215,-0.007808633489139426,0,0.1,0.025334248879630386,0.054056130576751585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2026-03-29 21:01:27.355962,DOT,Polkadot,1.26,2109725621.0,43,225170862.0,-1.54878,-11.559849395264258,0.10672992722782125,0.3781641316220869,Medium,balanced,1.23,-0.02380952380952383,0,0.023255813953488372,0.04036143024819755,0.008794514688885742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
